STATUS,TITLE,DEPARTMENT,FUNCTION,DIVISION,UNION_STATUS,EMPLOYMENT_CATEGORY,AGE,GENERATION,GENDER,ETHNIC_ORIGIN,LAST_PERFORMANCE_RATING,LAST_POTENTIAL_RATING,EMPLOYEE_PAY_FREQUENCY,EXEMPTTF,EMPLOYEE_PAY_BASIS,MANAGER_ID
Active,Laborer,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,47,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1236
Active,Merchandiser,Operations-East,Operations,Product,Non-Union,Regular Employee FT,36,Generation X,Male,W,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S353
Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,39,Generation X,Male,B,Successfully Meets Expectations,Strong Contributor,Bi-Weekly,F,Daily,S540
Active,Operator,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,49,Generation X,Female,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2554
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,66,Boomer,Male,B,No Rating,No Rating,Weekly,F,Hourly,S3709
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,51,Boomer,Male,H,No Rating,No Rating,Weekly,F,Daily,S823
Active,Forklift Driver,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,54,Boomer,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1519
Active,Mechanic,Factory-Central,Manufacturing,Product,Union,Regular Employee FT,44,Generation X,Male,H,No Rating,No Rating,Weekly,F,Hourly,S3306
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1684
Active,Forklift Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,44,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1943
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,38,Generation X,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S2985
Active,Supervisor,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,46,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S4308
Active,Technician,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,50,Boomer,Male,H,Meets & Exceeds,Not assigned,Weekly,F,Hourly,S3913
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,49,Generation X,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3537
Active,Merchandiser,Sales-West,Sales,Sales,Union,Regular Employee FT,53,Boomer,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3509
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,34,Generation X,Male,H,No Rating,No Rating,Weekly,F,Hourly,S3752
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,45,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S179
Active,Technician,Support,Support,Product,Non-Union,Regular Employee FT,47,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2201
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,60,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1268
Active,Sales Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,48,Generation X,Male,N,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S5089
Active,Payroll/Pension Administrator,HR,HR,Corporate,Non-Union,Regular Employee FT,53,Boomer,Female,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2582
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,54,Boomer,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S93
Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1362
Active,Mechanic,Factory-Central,Manufacturing,Product,Union,Regular Employee FT,59,Boomer,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3897
Active,Administrator,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,46,Generation X,Female,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S2476
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,47,Generation X,Male,B,No Rating,No Rating,Weekly,F,Daily,S803
Terminated,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee PT,31,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2081
Active,Sales Representative,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,51,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2787
Active,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,41,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,T,Salary,S4582
Active,Supervisor,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,54,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S4913
Terminated,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Male,B,Too New,Not assigned,Weekly,F,Hourly,S3534
Active,Operator,Factory-Central,Manufacturing,Product,Union,Regular Employee FT,52,Boomer,Male,H,No Rating,No Rating,Weekly,F,Hourly,S3338
Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,42,Generation X,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S2247
Terminated,Account Manager,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,24,Generation Y,Female,W,Meets & Exceeds,Emerging Talent,Monthly,T,Salary,S6142
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,28,Generation Y,Male,H,No Rating,No Rating,Weekly,F,Hourly,S3310
Active,Labor,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,41,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2312
Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,40,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2696
Active,Sales Manager,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,51,Boomer,Male,W,Successfully Meets Expectations,Strong Contributor,Monthly,T,Salary,S3239
Active,Technician,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,40,Generation X,Male,H,No Rating,No Rating,Weekly,F,Hourly,S2349
Active,Technician,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,37,Generation X,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S2129
Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,45,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1932
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,36,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S10
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,31,Generation X,Male,W,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S319
Active,Supervisor,Operations-East,Operations,Product,Non-Union,Regular Employee FT,56,Boomer,Male,W,Meets & Exceeds,Not assigned,Monthly,T,Salary,S654
Terminated,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,43,Generation X,Male,H,No Rating,No Rating,Weekly,F,Hourly,S3622
Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Male,H,Too New,Not assigned,Bi-Weekly,F,Daily,S175
Active,Clerk,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,60,Boomer,Female,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2430
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee PT,31,Generation X,Female,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S3061
Active,Laborer,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,37,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Weekly,F,Hourly,S3943
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,50,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1737
Active,Manager,HR,HR,Corporate,Non-Union,Regular Employee FT,52,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,T,Salary,S4147
Terminated,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,33,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1666
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,26,Generation Y,Male,B,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S3074
Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,51,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1637
Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,25,Generation Y,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S1870
Active,Installer,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,31,Generation Y,Male,W,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S1889
Active,Manager,Support,Support,Product,Non-Union,Regular Employee FT,41,Generation X,Male,H,Successfully Meets Expectations,Strong Contributor,Monthly,T,Salary,S5698
Active,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,48,Generation X,Male,W,Developing/Meets Some,Not assigned,Monthly,T,Salary,S5267
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,26,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2617
Active,Supervisor,Operations-West,Operations,Product,Non-Union,Regular Employee FT,53,Boomer,Male,W,Successfully Meets Expectations,Strong Contributor,Monthly,T,Salary,S764
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,47,Generation X,Male,B,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S1207
Active,Operator,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,22,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2065
Active,Customer Service Representative,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,33,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2680
Active,Clerk,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,37,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Semi-Mont,T,Salary,S4345
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,35,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Weekly,F,Hourly,S3772
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,49,Boomer,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S208
Terminated,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,40,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2361
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,38,Generation X,Male,H,No Rating,No Rating,Weekly,F,Hourly,S3438
Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee PT,25,Generation Y,Male,B,No Rating,No Rating,Weekly,F,Hourly,S3741
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,25,Generation Y,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2842
Active,Mechanic,Support,Support,Product,Non-Union,Regular Employee FT,53,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1659
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,44,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S88
Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,31,Generation X,Male,B,No Rating,No Rating,Weekly,F,Hourly,S3705
Active,Forklift Driver,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,56,Boomer,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1332
Active,Manager,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,38,Generation X,Male,B,Successfully Meets Expectations,Emerging Talent,Semi-Mont,T,Salary,S4383
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,27,Generation Y,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S2264
Active,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,52,Boomer,Male,W,Developing/Meets Some,Not assigned,Bi-Weekly,T,Salary,S3848
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,39,Generation X,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S2063
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,33,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S340
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,39,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S4
Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,30,Generation Y,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3100
Active,Specialist,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,54,Boomer,Female,N,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S2933
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,26,Generation Y,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S356
Active,Administrator,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,31,Generation X,Male,W,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S2440
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,43,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1520
Active,Technician,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,52,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1234
Active,Sales Manager,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,48,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S4970
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,36,Generation X,Male,W,Does Not Meet,Not assigned,Bi-Weekly,F,Daily,S26
Active,Administrator,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,28,Generation Y,Female,W,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S2169
Active,Account Manager,Sales-East,Sales,Sales,Union,Regular Employee FT,61,Boomer,Male,W,No Rating,No Rating,Weekly,F,Daily,S788
Active,Manager,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,46,Generation X,Female,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S3064
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,31,Generation Y,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2168
Active,Account Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,39,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S5909
Active,Manager,IT,Finance & IT,Corporate,Non-Union,Regular Employee FT,54,Boomer,Male,W,Meets & Exceeds,Not assigned,Monthly,T,Salary,S5346
Active,Technician,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,24,Generation Y,Male,B,Successfully Meets Expectations,Not assigned,Weekly,F,Hourly,S3882
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,36,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1215
Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,41,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2240
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,46,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S493
Terminated,Merchandiser,Sales-West,Sales,Sales,Union,Regular Employee FT,24,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2540
Active,Technician,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,49,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1973
Active,Forklift Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,33,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2792
Terminated,Sales Manager,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,34,Generation X,Male,W,Meets & Exceeds,Not assigned,Monthly,T,Salary,S4825
Active,Account Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,45,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S5390
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S196
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,53,Boomer,Male,B,Developing/Meets Some,Not assigned,Bi-Weekly,F,Daily,S258
Active,Technician,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,49,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1095
Terminated,Sales Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,35,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S1786
Active,Vice President,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,57,Boomer,Male,W,Successfully Meets Expectations,Mastery,Monthly,T,Salary,S4165
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,50,Boomer,Male,W,Meets & Exceeds,Not assigned,Bi-Weekly,F,Daily,S12
Active,Technician,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,34,Generation X,Male,B,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S1705
Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee FT,34,Generation X,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S1047
Active,Forklift Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,54,Boomer,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1484
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,52,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1774
Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,45,Generation X,Male,H,No Rating,No Rating,Weekly,F,Hourly,S3692
Active,Account Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,53,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S5287
Active,Forklift Driver,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,35,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1519
Active,Supervisor,Operations-East,Operations,Product,Non-Union,Regular Employee FT,41,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S5521
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,55,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S157
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,56,Boomer,Male,W,No Rating,No Rating,Weekly,F,Hourly,S874
Active,Supervisor,Operations-West,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Female,H,Successfully Meets Expectations,Strong Contributor,Bi-Weekly,T,Salary,S4799
Active,Labor,Factory-East,Manufacturing,Product,Union,Regular Employee FT,53,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1720
Active,Manager,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,57,Boomer,Male,H,Meets & Exceeds,Not assigned,Monthly,T,Salary,S5490
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,32,Generation X,Male,H,Developing/Meets Some,Not assigned,Bi-Weekly,F,Daily,S515
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,31,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2332
Active,Planner,Support,Support,Product,Non-Union,Regular Employee FT,41,Generation X,Male,B,Exceeds,Not assigned,Semi-Mont,T,Salary,S4452
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,39,Generation X,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S2794
Terminated,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,42,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Daily,S570
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,48,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S360
Active,Merchandiser,Sales-West,Sales,Sales,Union,Regular Employee FT,23,Generation Y,Female,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2614
Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,61,Boomer,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2441
Terminated,Supervisor,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,36,Generation X,Female,H,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S721
Active,Specialist,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,45,Generation X,Female,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S3003
Active,Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,40,Generation X,Male,W,Meets & Exceeds,Top Talent,Monthly,T,Salary,S4844
Active,Technician,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,46,Generation X,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3482
Active,Laborer,Factory-Central,Manufacturing,Product,Union,Regular Employee FT,41,Generation X,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3875
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,52,Boomer,Male,W,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S673
Terminated,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,27,Generation Y,Female,W,Developing/Meets Some,Strong Contributor,Monthly,T,Salary,S5471
Active,Mechanic,Factory-East,Manufacturing,Product,Union,Regular Employee FT,51,Boomer,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3318
Active,Laborer,Factory-Central,Manufacturing,Product,Union,Regular Employee FT,26,Generation Y,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3875
Active,Operator,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,36,Generation X,Male,A,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S1662
Active,Technician,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,45,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1148
Active,Supervisor,Operations-West,Operations,Product,Non-Union,Regular Employee FT,51,Boomer,Male,B,Successfully Meets Expectations,Strong Contributor,Monthly,T,Salary,S5198
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,23,Generation Y,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2884
Active,Technician,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,62,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1192
Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,33,Generation X,Female,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2488
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,38,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S250
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S654
Active,Operator,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,34,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Weekly,F,Hourly,S3938
Terminated,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,34,Generation X,Male,A,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2385
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,39,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S761
Active,Operator,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,48,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Weekly,F,Hourly,S4019
Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,23,Generation Y,Female,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S2709
Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,36,Generation X,Male,H,Meets & Exceeds,Not assigned,Weekly,F,Hourly,S3760
Active,Technician,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,51,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1021
Active,Technician,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,44,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Weekly,F,Hourly,S3914
Active,Mechanic,Factory-Central,Manufacturing,Product,Union,Regular Employee FT,57,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1229
Active,Installer,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,37,Generation X,Male,W,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S1427
Active,Operator,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,35,Generation X,Male,H,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S1230
Active,Systems Analyst,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,37,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2679
Active,Director,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,54,Boomer,Male,W,Successfully Meets Expectations,Strong Contributor,Monthly,T,Salary,S3847
Active,Systems Analyst,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,50,Boomer,Female,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2679
Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee PT,25,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2686
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,53,Boomer,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S410
Active,Supervisor,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,59,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S2071
Terminated,Administrative Assistant,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,38,Generation X,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S3198
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,31,Generation X,Male,H,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S2706
Active,Sales Manager,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,44,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S5394
